,z
1623,0.71289754
1624,1.5653377
1625,0.3195828
1626,-0.47802758
1627,1.0739639
1628,-0.59873337
1629,1.777776
1630,2.5578659
1631,-0.77320004
1632,2.5095553
1633,0.827465
1634,3.0525267
1635,-0.6317707
1636,0.49556214
1637,15.251287
1638,9.664583
1639,5.9405155
1640,11.57332
1641,5.8915415
1642,11.303788
1643,5.723816
1644,9.253983
1645,11.580344
1646,7.061217
1647,8.235706
1648,14.780751
1649,10.434708
1650,8.8056555
1651,4.464032
1652,12.469273
1653,8.959399
1654,7.762815
1655,9.823025
1656,13.05081
1657,8.203822
1658,9.633001
1659,-10.484712
1660,7.6711946
1661,8.416171
1662,8.054687
1663,4.19588
1664,13.679723
1665,4.8910995
1666,7.8798075
1667,8.655014
1668,11.449499
1669,6.053171
1670,11.516039
1671,8.644275
1672,17.647612
1673,6.244232
1674,6.8703694
1675,9.036162
1676,12.075317
1677,8.589006
1678,4.910651
1679,8.168727
1680,9.044711
1681,11.5002165
1682,8.177192
1683,11.240393
1684,6.148634
1685,7.923652
1686,15.193419
1687,6.235011
1688,9.440294
1689,10.485824
1690,15.111324
1691,10.0680895
1692,12.321394
1693,8.443896
1694,10.011078
1695,10.326823
1696,11.386386
1697,-5.0343776
1698,4.0591984
1699,4.348303
1700,7.4054537
1701,-6.3243685
1702,-3.1496353
1703,7.6656814
1704,-12.786212
1705,-4.397098
1706,-2.928242
1707,-6.3604026
1708,2.1951346
1709,2.014828
1710,0.05037176
1711,0.8415884
1712,6.8530254
1713,9.293192
1714,9.778512
1715,10.0703945
1716,5.1944246
1717,12.4560175
1718,0.8873228
1719,3.816218
1720,10.155474
1721,3.7279549
1722,8.855597
1723,2.3574677
1724,-11.030001
1725,5.6899405
1726,4.311815
1727,11.659556
1728,5.4536905
1729,11.676046
1730,15.685601
1731,-7.9213977
1732,12.377063
1733,-2.328441
1734,1.0859506
1735,9.743322
1736,6.9759216
1737,3.8093798
1738,3.25465
1739,7.575796
1740,6.6987734
1741,6.562357
1742,3.0783088
1743,-10.286753
1744,11.332718
1745,4.3727255
1746,12.9183235
1747,4.1594906
1748,-1.3110436
1749,16.950182
1750,7.748146
1751,5.8304753
1752,12.830565
1753,-0.68147784
1754,3.309761
1755,3.8184056
1756,2.895929
1757,4.637641
1758,6.18652
1759,12.877794
1760,-3.765084
1761,4.036582
1762,10.087989
1763,10.5900545
1764,9.507209
1765,10.741207
1766,1.56073
1767,3.4133153
1768,7.0235376
1769,5.4382806
1770,9.988707
1771,2.310837
1772,17.615967
1773,-3.0777493
1774,5.5356207
1775,-0.1583737
1776,-5.5204515
1777,3.226615
1778,7.539105
1779,5.071595
1780,7.8061895
1781,-7.454205
1782,-3.1723025
1783,13.216188
1784,-6.273039
1785,-15.421095
1786,13.278134
1787,8.251788
1788,-3.2282717
1789,-2.1489363
1790,4.332372
1791,2.52451
1792,0.33323967
1793,10.968579
1794,0.5175239
1795,9.0671835
1796,15.610806
1797,-11.324599
1798,16.889488
1799,2.571248
1800,4.2882385
1801,-3.3691022
1802,-2.7188544
1803,-16.395956
1804,-4.233511
1805,-0.4896726
1806,1.4384265
1807,12.240323
1808,4.3359613
1809,7.9701276
1810,1.2223699
1811,6.2783427
1812,2.0869706
1813,7.728315
1814,10.441638
1815,9.514483
1816,8.480488
1817,6.7534695
1818,11.380486
1819,7.2955003
1820,3.550489
1821,11.800757
1822,5.9417934
1823,1.2039233
1824,6.3672633
1825,3.0651255
1826,5.071646
1827,-8.7655945
1828,14.781537
1829,2.5923636
1830,7.0004883
1831,0.06818836
1832,2.3360457
1833,9.09856
1834,2.8354163
1835,7.667405
1836,10.709427
1837,15.154456
1838,3.3900626
1839,1.5345806
1840,1.6531451
1841,6.994277
1842,1.8792003
1843,6.1864166
1844,-16.611261
1845,4.4344125
1846,8.059062
1847,8.077043
1848,6.150467
1849,15.187912
1850,4.9886327
1851,-11.288674
1852,0.07634558
1853,7.8034325
1854,6.097114
1855,13.287261
1856,15.453486
1857,7.5505958
1858,-4.5107856
1859,11.010767
1860,6.7533464
1861,10.567476
1862,16.674253
1863,7.3113313
1864,6.8386993
1865,11.821646
1866,11.810297
1867,6.2135816
1868,9.361086
1869,9.969139
1870,11.317066
1871,12.968291
1872,6.186373
1873,5.8260655
1874,9.541729
1875,6.8320475
1876,14.246792
1877,10.65628
1878,13.663071
1879,10.557167
1880,-1.5086577
1881,10.005732
1882,5.883074
1883,4.7148395
1884,10.058635
1885,8.731745
1886,5.944866
1887,17.308886
1888,5.2487135
1889,11.015661
1890,11.177316
1891,11.319528
1892,16.331367
1893,9.755121
1894,11.007919
1895,14.144349
1896,10.349397
1897,8.528203
1898,4.441754
1899,15.231684
1900,10.778892
1901,11.851319
1902,12.792282
1903,10.7275
1904,10.807167
1905,18.576805
1906,10.090728
1907,9.564216
1908,-11.807863
1909,7.1025867
1910,-6.0358934
1911,1.419805
1912,-3.098782
1913,4.4457784
1914,2.5914266
1915,-11.395817
1916,5.047322
1917,-4.4304605
1918,2.233578
1919,-8.114483
1920,0.6443747
1921,0.42118135
1922,0.7970402
1923,-1.4909161
1924,-2.2359066
1925,-3.0689125
1926,0.8720121
1927,-1.8393533
1928,10.485082
1929,2.5917056
1930,-4.266354
1931,-5.022048
1932,-4.3068953
1933,-3.010627
1934,10.04673
1935,2.1129022
1936,-6.4326077
1937,-8.761599
1938,4.5239325
1939,3.0596035
1940,-6.375839
1941,5.545433
1942,-3.518615
1943,8.579633
1944,4.0632424
1945,-1.1047573
1946,0.6086825
1947,-4.5950575
1948,2.446994
1949,-1.0807552
1950,3.6689897
