,Song,x,y,z,danceable_ML,not_danceable_ML,female,male,voice,instrumental,tonal,atonal,spectral_complexity.mean
279,0280_Here Comes the Weekend (feat. Eminem) - P!nk,-9.76434,5.3383617,-1.8381581,0.99684405,0.0040119924,0.7354961,0.26556417,0.95142114,0.04917525,0.99855757,0.0044628982,21.08971405029297
280,0281_Please Don't Leave Me - P!nk,5.347526,-5.136383,-0.7596408,0.76777834,0.21209897,0.6474916,0.35659766,0.9550695,0.0441725,0.8081174,0.2074831,19.626449584960938
281,0282_Funhouse - P!nk,-16.414217,-6.506136,-1.6219592,0.9870488,0.017250633,0.5478495,0.45424962,0.9968605,0.0020537542,0.99985415,0.0049005277,20.715391159057617
282,0283_Unstoppable - Sia,-13.472072,5.2979865,-5.2732186,0.89073664,0.11880451,0.9243895,0.07676968,0.9724777,0.023238793,0.9725597,0.048098344,22.356534957885746
283,0284_Macarena - Bayside Boys Remix - Los Del Rio,0.3034211,-6.287111,-19.797108,0.99959135,0.0003595486,0.28349188,0.71802676,0.93306905,0.058720954,0.99985826,0.016190002,21.28306198120117
284,0285_The Time (Dirty Bit) - Black Eyed Peas,2.7686162,14.203398,7.9031262,1.0,5.3548175e-09,0.5999958,0.41455242,0.894711,0.120913655,0.99965495,0.0020591838,16.170146942138672
285,0286_Berzerk - Eminem,-5.403411,5.327794,-10.117864,0.99846953,0.0011360046,0.030832024,0.9691637,0.9755556,0.04360009,0.9999998,5.0532467e-06,21.09358024597168
286,0287_Not Afraid - Eminem,-12.812836,-2.5858464,3.0265768,0.9999799,1.3088348e-05,0.06177455,0.93840235,0.9809569,0.015774064,0.99998677,0.0004587972,16.74091339111328
287,0288_Cinderella Man - Eminem,-6.7297387,-26.163809,-4.3480616,0.7946184,0.16637145,0.09341509,0.9064792,0.9882792,0.007913756,0.99999857,0.00013495203,31.02938842773437
288,0289_Shake That - Eminem,1.8659514,11.208311,-0.7013712,1.0,1.3999826e-08,0.030650625,0.96899796,0.99606055,0.005045256,0.9999919,0.00011154176,13.653518676757812
289,0290_Give In to Me - Michael Jackson,14.250952,-7.8937984,-10.218531,0.14397848,0.8633933,0.3989827,0.60314643,0.6794787,0.33600783,0.40993014,0.6013966,20.27378273010254
290,0291_Rain Over Me (feat. Marc Anthony) - Pitbull,-14.134033,6.869453,2.7951796,0.8741693,0.11603595,0.67306894,0.33446893,0.9809447,0.016876133,0.999765,0.0011539639,22.491878509521484
291,"0292_Give Me Everything (feat. Ne-Yo, Afrojack & Nayer) - Pitbull",-1.3168992,-2.7796373,-5.75102,0.65037346,0.35023752,0.4244214,0.58665246,0.9513361,0.031633276,0.8918465,0.16170286,19.93890190124512
292,0293_Turn Down for What - DJ Snake,-11.056407,4.225614,16.577465,0.8997838,0.059598673,0.14631006,0.8540635,0.94667244,0.053423893,0.99941987,0.0020685461,18.02861595153809
293,0294_In Da Club - 50 Cent,-3.000144,7.7063804,-6.2537346,0.99999636,2.466792e-06,0.03156721,0.9684177,0.9934019,0.020528093,0.99998736,0.00016478701,14.999226570129396
294,0295_nan,-8.098283,4.4967146,-1.5936583,0.9962487,0.004428077,0.4839065,0.5171286,0.9982813,0.00210552,0.9999799,0.001034082,20.395978927612305
295,0296_nan,-13.441575,3.1094625,7.7224936,0.9999949,5.7529205e-06,0.9970408,0.0036001573,0.9628289,0.056984827,0.9995579,0.0060897255,15.765661239624023
296,0297_nan,4.8955784,9.360163,8.141672,0.9999998,1.1433868e-06,0.31120855,0.6940941,0.9833386,0.015397828,0.9999765,0.00015234361,13.125289916992188
297,0298_nan,5.764478,9.426969,7.9453816,0.9962637,0.0050796033,0.6064186,0.39653632,0.9458042,0.06071348,0.9787925,0.04227341,11.253673553466797
298,0299_nan,-20.377935,-3.156006,2.2104445,0.97810584,0.015715724,0.78610253,0.21546693,0.90995336,0.083854675,0.76749915,0.26503277,21.66975975036621
299,0300_nan,-18.064716,0.3140402,-1.2992498,0.9995111,0.00067383033,0.8444771,0.15676934,0.96474445,0.027173206,0.9508093,0.16085508,19.863882064819336
300,0301_Do It Like A Dude - Jessie J,-19.50268,-2.031848,3.6341662,0.9973092,0.0015460305,0.59529173,0.4082705,0.9129181,0.06959683,0.99759614,0.011472852,20.12219619750977
301,0302_I Like - Jost & Grubert Radio Mix - Keri Hilson,-9.976824,-5.4894853,15.880553,0.99830395,0.0011121453,0.7732798,0.2290411,0.98818016,0.009576826,0.9833618,0.064473964,13.79582405090332
302,0303_Last Friday Night (T.G.I.F.) - Katy Perry,-9.239164,7.7955093,-2.3200665,0.999913,9.611809e-05,0.79461116,0.21045989,0.9702367,0.028471863,0.8953948,0.16771704,22.86775016784668
303,0304_Teenage Dream - Katy Perry,-16.299978,7.072856,-1.174509,0.9999954,2.7378986e-05,0.9161999,0.08347867,0.96159816,0.027419645,0.9993771,0.011242357,23.68986892700196
