,danceable_ML,not_danceable_ML,female,male,voice,instrumental,tonal,atonal,spectral_complexity.mean
1575,0.9999995,3.214361e-06,0.75529844,0.2485956,0.6941128,0.24485904,0.982835,0.033353843,13.07347297668457
1576,0.023198372,0.9749712,0.42056563,0.58101,0.070419125,0.91586757,0.9428724,0.07781401,5.1183295249938965
1577,0.013203839,0.98882294,0.27314955,0.72843474,0.16495804,0.81900555,0.18184094,0.847402,16.00154685974121
1578,0.09048627,0.88983065,0.3970121,0.6035477,0.066887915,0.918319,0.97423214,0.0432612,5.375870227813721
1579,0.0022574584,0.9988861,0.7778664,0.22416104,0.1908488,0.8138341,0.26937908,0.7255139,12.774168968200684
1580,0.13248529,0.8461057,0.57294494,0.42823544,0.36362252,0.6015169,0.446105,0.65939,6.902552127838135
1581,0.99998754,1.57252e-05,0.6393033,0.3620387,0.6035978,0.38901484,0.21701777,0.748046,20.89713859558105
1582,0.54934996,0.45099017,0.5796732,0.4225073,0.18130329,0.838999,0.03748801,0.94617385,8.287702560424805
1583,0.34190664,0.6351927,0.63021725,0.37198544,0.08784064,0.90953666,0.8130006,0.2097128,15.25986099243164
1584,0.026380971,0.9754715,0.42068443,0.58092666,0.20441449,0.7592445,0.16210529,0.81474006,14.760247230529783
1585,0.090500295,0.95644,0.54933566,0.45255747,0.07252291,0.9170237,0.0044683428,0.9949184,14.607114791870115
1586,0.030881342,0.9733809,0.53383374,0.4675043,0.057031877,0.93707323,0.86476004,0.12526847,7.511987686157227
1587,0.007786757,0.99396694,0.58608645,0.41602445,0.07011899,0.930704,0.8111752,0.1502775,9.351120948791504
1588,0.01045371,0.9916692,0.522813,0.47853646,0.06420365,0.9303331,0.8527304,0.12504502,8.28615665435791
1589,0.007910091,0.9933488,0.58255327,0.41924846,0.1054656,0.8803708,0.48472428,0.47690192,11.529775619506836
1590,0.054211307,0.9454401,0.15189716,0.8497316,0.25346193,0.7290919,0.3905418,0.5953949,17.450115203857422
1591,0.01679107,0.98591155,0.5833994,0.41879624,0.16698346,0.81791174,0.59073305,0.33925864,11.505026817321776
1592,0.027196005,0.9745963,0.64452124,0.35938329,0.2515366,0.7244899,0.8710524,0.08975406,11.41995334625244
